Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Maximiliano Thous - Luz Casanova;134;T;11;9;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37333936513208965, 39.48765637635625], ""type"": ""Point""}";39.48765637635625, -0.37333936513208965;2026-02-25T21:26:55+01:00
Economista Gay - Constitución;136;T;3;17;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37561037166808026, 39.48994138447594], ""type"": ""Point""}";39.48994138447594, -0.37561037166808026;2026-02-25T21:25:53+01:00
Gómez Ferrer - Álvaro de Bazán;118;T;5;15;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3604163266878076, 39.480466345728246], ""type"": ""Point""}";39.480466345728246, -0.3604163266878076;2026-02-25T21:26:05+01:00
Pérez Galdós - Marqués de Zenete;157;T;0;0;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38736643250783204, 39.46405230416093], ""type"": ""Point""}";39.46405230416093, -0.38736643250783204;2026-02-25T21:22:56+01:00
Isabel de Villena - Mendizábal;170;T;14;6;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.32533420529241996, 39.482973337910934], ""type"": ""Point""}";39.482973337910934, -0.32533420529241996;2026-02-25T21:28:23+01:00
Pavía - Espadán;165;T;7;13;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3245702116150898, 39.471409299035706], ""type"": ""Point""}";39.471409299035706, -0.3245702116150898;2026-02-25T21:20:28+01:00
Bombero Ramón Duart - Hermanos Maristas;184;T;10;5;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36557036636455215, 39.45278225629358], ""type"": ""Point""}";39.45278225629358, -0.36557036636455215;2026-02-25T21:28:06+01:00
Pío XII - Campanar;172;T;2;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3933454386575609, 39.48146236504626], ""type"": ""Point""}";39.48146236504626, -0.3933454386575609;2026-02-25T21:24:52+01:00
Hospital Nueva Fe (consultas externas);188;T;0;40;40;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3751583239336074, 39.44462122517277], ""type"": ""Point""}";39.44462122517277, -0.3751583239336074;2026-02-25T21:21:10+01:00
Paseo Neptuno 32-34;163;T;10;9;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3234012136184579, 39.46443727525528], ""type"": ""Point""}";39.46443727525528, -0.3234012136184579;2026-02-25T21:20:47+01:00
Av. del Cid - Julián Peña;200;T;0;15;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3932144497376184, 39.467737319045916], ""type"": ""Point""}";39.467737319045916, -0.3932144497376184;2026-02-25T21:25:03+01:00
Alfambra - Poeta Monmeneu;133;T;6;8;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37588237827023757, 39.48275636079257], ""type"": ""Point""}";39.48275636079257, -0.37588237827023757;2026-02-25T21:25:38+01:00
Ramón Llull - Serpis;102;T;6;13;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.346720283882565, 39.47583332394092], ""type"": ""Point""}";39.47583332394092, -0.346720283882565;2026-02-25T21:28:20+01:00
Albalat dels Tarongers - Professor Ernest Lluch;106;T;18;7;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34138726522688073, 39.47674432466283], ""type"": ""Point""}";39.47674432466283, -0.34138726522688073;2026-02-25T21:22:02+01:00
UPV Trinquet;110;T;11;19;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33668024623462534, 39.48074033571707], ""type"": ""Point""}";39.48074033571707, -0.33668024623462534;2026-02-25T21:23:35+01:00
Albocácer - Vinaroz;123;T;6;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36484133609518726, 39.487671371814656], ""type"": ""Point""}";39.487671371814656, -0.36484133609518726;2026-02-25T21:24:23+01:00
Masquefa, 42 - 44;125;T;10;5;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3586183142345537, 39.489693375775445], ""type"": ""Point""}";39.489693375775445, -0.3586183142345537;2026-02-25T21:19:49+01:00
Monduber - Peset Aleixandre;174;T;9;10;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38664740957644866, 39.489438388167024], ""type"": ""Point""}";39.489438388167024, -0.38664740957644866;2026-02-25T21:26:42+01:00
Alcudia de Crespins - Pedro Patricio Mey;177;T;4;7;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3734883620528129, 39.493545396079504], ""type"": ""Point""}";39.493545396079504, -0.3734883620528129;2026-02-25T21:23:59+01:00
Gaspar Aguilar - Músico Penella;209;T;0;0;18;F;17/01/2026 00:06:23;"{""coordinates"": [-0.39301546105732643, 39.45208226727133], ""type"": ""Point""}";39.45208226727133, -0.39301546105732643;2026-01-16T08:41:12+01:00
Pio IX - Músico Cabanilles;259;T;10;10;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3930154660803912, 39.44546024514969], ""type"": ""Point""}";39.44546024514969, -0.3930154660803912;2026-02-25T21:21:02+01:00
Doctor Tomás Sala - Carteros;254;T;5;14;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3899174536874086, 39.447714251158565], ""type"": ""Point""}";39.447714251158565, -0.3899174536874086;2026-02-25T21:27:53+01:00
Tres Forques - Turís;256;T;13;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39223544845537966, 39.46396330656933], ""type"": ""Point""}";39.46396330656933, -0.39223544845537966;2026-02-25T21:28:00+01:00
Pintor Rafael Solves - Jose Soto Mico;258;T;14;1;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3891374575312111, 39.43982822413676], ""type"": ""Point""}";39.43982822413676, -0.3891374575312111;2026-02-25T21:22:04+01:00
San Francisco de Paula - Castell de Pop;274;T;13;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3331882593063431, 39.44807022576504], ""type"": ""Point""}";39.44807022576504, -0.3331882593063431;2026-02-25T21:25:39+01:00
Veles e Vents;276;T;13;7;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.32376521655842594, 39.46197526682713], ""type"": ""Point""}";39.46197526682713, -0.32376521655842594;2026-02-25T21:27:33+01:00
Salvador Cerveró - Carlos Cortina;271;T;5;10;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38989141267304944, 39.49927942267903], ""type"": ""Point""}";39.49927942267903, -0.38989141267304944;2026-02-25T21:23:35+01:00
Moraira - Alta del Mar;273;T;12;3;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3332722584595297, 39.450305232524904], ""type"": ""Point""}";39.450305232524904, -0.3332722584595297;2026-02-25T21:25:55+01:00
Moreras - Rona de Nazaret;275;T;14;3;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3350652633218127, 39.45230524022502], ""type"": ""Point""}";39.45230524022502, -0.3350652633218127;2026-02-25T21:22:51+01:00
Corts Valencianes - General Avilés;204;T;3;17;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3965874461307865, 39.485843380594176], ""type"": ""Point""}";39.485843380594176, -0.3965874461307865;2026-02-25T21:22:18+01:00
Padre Esteban Pernet - Casa Misericordia;263;T;2;16;18;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4096445056541294, 39.467043324648515], ""type"": ""Point""}";39.467043324648515, -0.4096445056541294;2026-02-25T21:18:57+01:00
