Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
BLASCO IBAÑEZ;AV;14;68892;"{""coordinates"": [-0.3644462239426186, 39.47845651770718], ""type"": ""Point""}";39.47845651770718, -0.3644462239426186
MUÑOZ SECA;C;1ac;68894;"{""coordinates"": [-0.36208025172423064, 39.47289196010074], ""type"": ""Point""}";39.47289196010074, -0.36208025172423064
COLON;C;11;68896;"{""coordinates"": [-0.3735450586709538, 39.46810303612727], ""type"": ""Point""}";39.46810303612727, -0.3735450586709538
(Sin Asignar);;S/N;68898;"{""coordinates"": [-0.3748984195169833, 39.44235487653935], ""type"": ""Point""}";39.44235487653935, -0.3748984195169833
CRONISTA RIVELLES;C;1;68901;"{""coordinates"": [-0.3737885219698263, 39.48086031616529], ""type"": ""Point""}";39.48086031616529, -0.3737885219698263
BLANQUERIAS;C;4;68903;"{""coordinates"": [-0.3765242223325766, 39.47933858327015], ""type"": ""Point""}";39.47933858327015, -0.3765242223325766
ZARAGOZA;PL;S/N;68904;"{""coordinates"": [-0.3602646899913997, 39.46834944455638], ""type"": ""Point""}";39.46834944455638, -0.3602646899913997
DON JUAN DE AUSTRIA;C;38;68906;"{""coordinates"": [-0.37120218997194476, 39.470339881164364], ""type"": ""Point""}";39.470339881164364, -0.37120218997194476
ALFONSO EL MAGNANIMO;PL;10;68907;"{""coordinates"": [-0.3709707495430277, 39.47168414407152], ""type"": ""Point""}";39.47168414407152, -0.3709707495430277
PIO XII;AV;4;68909;"{""coordinates"": [-0.391689153714035, 39.480284175052965], ""type"": ""Point""}";39.480284175052965, -0.391689153714035
FRANCISCO LARGO CABALLERO;C;S/N;68911;"{""coordinates"": [-0.3819658492428695, 39.46027483196301], ""type"": ""Point""}";39.46027483196301, -0.3819658492428695
SAN VICENTE MARTIR;C;S/N;68912;"{""coordinates"": [-0.38231496788114355, 39.46012816767518], ""type"": ""Point""}";39.46012816767518, -0.38231496788114355
CID;AV;101;68913;"{""coordinates"": [-0.41507266029317463, 39.46915817607168], ""type"": ""Point""}";39.46915817607168, -0.41507266029317463
CAMPANAR;AV;S/N;68915;"{""coordinates"": [-0.39204634622555357, 39.482983599535764], ""type"": ""Point""}";39.482983599535764, -0.39204634622555357
FRANCIA;AV;11;68918;"{""coordinates"": [-0.35252633689902907, 39.46057757512273], ""type"": ""Point""}";39.46057757512273, -0.35252633689902907
TRES FORQUES;C;129;68920;"{""coordinates"": [-0.4039276436136617, 39.46354026904669], ""type"": ""Point""}";39.46354026904669, -0.4039276436136617
ALBORAYA;C;28;68921;"{""coordinates"": [-0.37072270297491267, 39.48202936064987], ""type"": ""Point""}";39.48202936064987, -0.37072270297491267
RICARDO MUÑOZ SUAY (CINEASTA);C;S/N;68925;"{""coordinates"": [-0.35446284668845085, 39.45414267429751], ""type"": ""Point""}";39.45414267429751, -0.35446284668845085
DOCTOR ZAMENHOF;C;1ac;68935;"{""coordinates"": [-0.38984922440593206, 39.47653963871378], ""type"": ""Point""}";39.47653963871378, -0.38984922440593206
RAMON Y CAJAL;G.V.;11;68936;"{""coordinates"": [-0.38084804612898415, 39.46410305800222], ""type"": ""Point""}";39.46410305800222, -0.38084804612898415
PINTOR VILAR;C;12ac;68941;"{""coordinates"": [-0.3709730881749031, 39.48216457200218], ""type"": ""Point""}";39.48216457200218, -0.3709730881749031
EDUARDO PRIMO YUFERA (CIENTIFIC);C;S/N;68942;"{""coordinates"": [-0.34760111491357587, 39.45223217152221], ""type"": ""Point""}";39.45223217152221, -0.34760111491357587
FERIAS;AV;S/N;68944;"{""coordinates"": [-0.4282566959347815, 39.50274541929035], ""type"": ""Point""}";39.50274541929035, -0.4282566959347815
DOCTOR MANUEL CANDELA;C;41ac;68946;"{""coordinates"": [-0.3498131823963704, 39.46954428637064], ""type"": ""Point""}";39.46954428637064, -0.3498131823963704
