"identificador";"nombre_servicio";"tipo_servicio";"distrito_asignado";"latitud";"longitud"
"PA195";"Alacant - Castelló (2330)";"Parada EMT";"L'EIXAMPLE";39,4661432645936;-0,376955148901571
"PA196";"País Valencià - València (2338)";"Parada EMT";"JESUS";39,4264267904053;-0,381416740839435
"PA197";"País Valencià - Pintor Sorolla (2340)";"Parada EMT";"JESUS";39,4279662030195;-0,384770111434005
"PA198";"Centre d'Investigació Príncep Felip (2045)";"Parada EMT";"CAMINS AL GRAU";39,4514930657341;-0,344803878726116
"PA199";"Museu de les Ciències (2053)";"Parada EMT";"CAMINS AL GRAU";39,4548899180025;-0,353524296247154
"PA200";"Vinalesa - Cases de Bàrcena (2063)";"Parada EMT";"POBLATS DEL NORD";39,5228452554596;-0,357115605202839
"PA201";"Camí de Montcada - Gasolinera (1140)";"Parada EMT";"POBLATS DEL NORD";39,5122945733796;-0,386464265451326
"PA202";"Font d'en Corts (imparell) - Alqueria Reial (1148)";"Parada EMT";"QUATRE CARRERES";39,4474794404002;-0,359573877156825
"PA203";"Passeig Marítim - Vicent la Roda (1160)";"Parada EMT";"ALGIROS";39,4790310398756;-0,324629107902009
"PA204";"Centre de Salut de València-Castellar (1290)";"Parada EMT";"QUATRE CARRERES";39,4282424523227;-0,363971545583506
"PA205";"Corts Valencianes - Palau de Congressos (1319)";"Parada EMT";"BENICALAP";39,4941838501925;-0,401818111537627
"PA206";"Bon Recés - Florista (1333)";"Parada EMT";"BENICALAP";39,4904212478722;-0,392439424351705
"PA207";"Polvorí - Sinarques (387)";"Parada EMT";"POBLATS DE L'OEST";39,5009917877975;-0,425226636762223
"PA208";"Joan Baptista Comes - Antonio Machado (493)";"Parada EMT";"L'OLIVERETA";39,4672044641801;-0,415069108923412
"PA209";"Marina de València (1587)";"Parada EMT";"POBLATS MARITIMS";39,4637865824591;-0,329473965605615
"PA210";"Constitució (parell) - Tavernes Blanques (250)";"Parada EMT";"RASCANYA";39,5042012485178;-0,367802074544847
"PA211";"Sants Just i Pastor - Lleons (136)";"Parada EMT";"CAMINS AL GRAU";39,4697516345243;-0,347997958001673
"PA212";"Blasco Ibáñez (parell) - Ciutat Universitària (165)";"Parada EMT";"EL PLA DEL REAL";39,4779803979104;-0,363110880527453
"PA213";"Facultats (166)";"Parada EMT";"EL PLA DEL REAL";39,4774845437601;-0,361424831394843
"PA214";"Cavanilles - Vivers (173)";"Parada EMT";"EL PLA DEL REAL";39,4801420007899;-0,366183592966837
"PA215";"Pare Viñas - Daroca (200)";"Parada EMT";"RASCANYA";39,495907048643;-0,368858172746918
"PA216";"Cardenal Benlloch (imparell) - Port (229)";"Parada EMT";"EL PLA DEL REAL";39,4676621625237;-0,356414789784712
"PA217";"Tirso de Molina - Mestre Rodrigo (1432)";"Parada EMT";"L'OLIVERETA";39,4768844247553;-0,396420856023646
"PA218";"França - Albereda (1461)";"Parada EMT";"CAMINS AL GRAU";39,4615598176433;-0,356590328986687
"PA219";"Malilla (imparell) - Illa Formentera (1463)";"Parada EMT";"JESUS";39,4468880006709;-0,379861524263519
"PA220";"Ciutat de l'Artista Faller (1326)";"Parada EMT";"BENICALAP";39,5004427675284;-0,393102611711743
"PA221";"Camí de Montcada (parell) - Cambrils (280)";"Parada EMT";"BENICALAP";39,4946989253522;-0,380150744177682
"PA222";"Camí de Montcada - Casa d'Àngel (284)";"Parada EMT";"BENICALAP";39,5068479191254;-0,383969213013971
"PA223";"Camí de Montcada - Ctra. Carpesa (303)";"Parada EMT";"BENICALAP";39,5027314201484;-0,38264649176435
"PA224";"Cavanilles - Álvaro de Bazán (172)";"Parada EMT";"LA SAIDIA";39,4819942100715;-0,365261927104743
"PA225";"Primat Reig - Camí Vera (192)";"Parada EMT";"EL PLA DEL REAL";39,4800997796889;-0,357527723947144
"PA226";"Albalat dels Tarongers - Vinalopó (1492)";"Parada EMT";"ALGIROS";39,4783128465309;-0,347678455362933
"PA227";"Pintor Ferrandis - Àngels (46)";"Parada EMT";"ALGIROS";39,4722399157614;-0,331709606580836
"PA228";"Poliesportiu Natzaret - Moraira (70)";"Parada EMT";"POBLATS MARITIMS";39,4505590954233;-0,332428775353221
